id,name,status,net,window_start,window_end,is_crewed,rocket_name,rocket_full_name,rocket_manufacturer,provider,mission_type,orbit,pad_name,location_name,location_country
e3df2ecd-c239-472f-95e4-2b89b4f75800,Sputnik 8K74PS | Sputnik 1,Launch Successful,1957-10-04T19:28:34Z,1957-10-04T19:28:34Z,1957-10-04T19:28:34Z,,Sputnik 8K74PS,Sputnik 8K74PS,Energia,Soviet Space Program,Test Flight,Low Earth Orbit,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",
f8c9f344-a6df-4f30-873a-90fe3a7840b3,Sputnik 8K74PS | Sputnik 2,Launch Successful,1957-11-03T02:30:00Z,1957-11-03T02:30:00Z,1957-11-03T02:30:00Z,,Sputnik 8K74PS,Sputnik 8K74PS,Energia,Soviet Space Program,Test Flight,Low Earth Orbit,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",
535c1a09-97c8-4f96-bb64-6336d4bcb1fb,Vanguard | Vanguard,Launch Failure,1957-12-06T16:44:35Z,1957-12-06T16:44:35Z,1957-12-06T16:44:35Z,,Vanguard,Vanguard,Lockheed Martin,US Navy,Test Flight,Low Earth Orbit,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",
1b9e28d0-c531-44b0-9b37-244e62a6d3f4,Juno-I | Explorer 1,Launch Successful,1958-02-01T03:47:56Z,1958-02-01T03:47:56Z,1958-02-01T03:47:56Z,,Juno-I,Juno-I,Chrysler,Army Ballistic Missile Agency,Test Flight,Low Earth Orbit,Launch Complex 26A,"Cape Canaveral SFS, FL, USA",
48bc7deb-b2e1-46c2-ab63-0ce00fbd192b,Vanguard | Vanguard,Launch Failure,1958-02-05T07:33:00Z,1958-02-05T07:33:00Z,1958-02-05T07:33:00Z,,Vanguard,Vanguard,Lockheed Martin,US Navy,Test Flight,Low Earth Orbit,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",
896e8af6-d256-4a5b-ab15-2f25c84e90e3,Juno-I | Explorer 2,Launch Failure,1958-03-05T18:27:57Z,1958-03-05T18:27:57Z,1958-03-05T18:27:57Z,,Juno-I,Juno-I,Chrysler,Army Ballistic Missile Agency,Test Flight,Low Earth Orbit,Launch Complex 26A,"Cape Canaveral SFS, FL, USA",
74d39bb8-34a6-4a8b-8554-d2d3ec22aee6,Vanguard | Vanguard,Launch Successful,1958-03-17T12:15:41Z,1958-03-17T12:15:41Z,1958-03-17T12:15:41Z,,Vanguard,Vanguard,Lockheed Martin,US Navy,Test Flight,Low Earth Orbit,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",
b4e501ff-083c-47d6-9ff0-63ec1bf035c3,Juno-I | Explorer 3,Launch Successful,1958-03-26T17:38:01Z,1958-03-26T17:38:01Z,1958-03-26T17:38:01Z,,Juno-I,Juno-I,Chrysler,Army Ballistic Missile Agency,Earth Science,Elliptical Orbit,Launch Complex 26A,"Cape Canaveral SFS, FL, USA",
59d2de37-4c22-495f-8718-4b22f5f34ab7,Sputnik 8A91 | D-1 1,Launch Failure,1958-04-27T07:00:35Z,1958-04-27T07:00:35Z,1958-04-27T07:00:35Z,,Sputnik 8A91,Sputnik 8A91,Energia,Soviet Space Program,Earth Science,Low Earth Orbit,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",
de282e74-e03b-411e-9633-2d1497629893,Vanguard | Vanguard,Launch Failure,1958-04-29T02:53:00Z,1958-04-29T02:53:00Z,1958-04-29T02:53:00Z,,Vanguard,Vanguard,Lockheed Martin,US Navy,Test Flight,Low Earth Orbit,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",
6a7f56f9-2565-4b6c-b0c5-23e9c74a2368,Sputnik 8A91 | D1- 2,Launch Successful,1958-05-15T07:00:35Z,1958-05-15T07:00:35Z,1958-05-15T07:00:35Z,,Sputnik 8A91,Sputnik 8A91,Energia,Soviet Space Program,Earth Science,Low Earth Orbit,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",
a861fb4d-8988-468b-abd1-a6e8abe5f2c7,Vanguard | Vanguard,Launch Failure,1958-05-28T03:46:20Z,1958-05-28T03:46:20Z,1958-05-28T03:46:20Z,,Vanguard,Vanguard,Lockheed Martin,US Navy,Test Flight,Low Earth Orbit,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",
57e64adf-5c20-4c81-b17a-587b44d574b0,Vanguard | Vanguard,Launch Failure,1958-06-26T05:00:52Z,1958-06-26T05:00:52Z,1958-06-26T05:00:52Z,,Vanguard,Vanguard,Lockheed Martin,US Navy,Test Flight,Low Earth Orbit,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",
64da1836-0c00-4074-ab0a-f9d0ee6b1221,Project Pilot | NOTS 1,Launch Failure,1958-07-25T00:00:00Z,1958-07-25T00:00:00Z,1958-07-25T00:00:00Z,,Project Pilot,Project Pilot,US Navy,US Navy,Government/Top Secret,Low Earth Orbit,Naval Air Weapons Station China Lake,Air launch to Suborbital flight,
e0975cef-e8c6-4f35-bbf7-1b55963e06a5,Juno-I | Explorer 4,Launch Successful,1958-07-26T15:00:57Z,1958-07-26T15:00:57Z,1958-07-26T15:00:57Z,,Juno-I,Juno-I,Chrysler,Army Ballistic Missile Agency,Earth Science,Medium Earth Orbit,Launch Complex 5,"Cape Canaveral SFS, FL, USA",
ac4c0c44-1925-4636-99b5-8c3b33d6c62a,Project Pilot | NOTS 2,Launch Failure,1958-08-12T00:00:00Z,1958-08-12T00:00:00Z,1958-08-12T00:00:00Z,,Project Pilot,Project Pilot,US Navy,US Navy,Government/Top Secret,Low Earth Orbit,Naval Air Weapons Station China Lake,Air launch to Suborbital flight,
5408eda7-a3cc-48d2-9a62-e77a3cf86bc1,Thor Able I | Able I (Pioneer),Launch Failure,1958-08-17T12:18:00Z,1958-08-17T12:18:00Z,1958-08-17T12:18:00Z,,Thor Able I,Thor Able I,McDonnell Douglas,Army Ballistic Missile Agency,Lunar Exploration,Lunar Orbit,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",
ee6958bf-155d-4400-9d9a-9d3e27c56d6d,Project Pilot | NOTS 3,Launch Failure,1958-08-22T00:00:00Z,1958-08-22T00:00:00Z,1958-08-22T00:00:00Z,,Project Pilot,Project Pilot,US Navy,US Navy,Government/Top Secret,Low Earth Orbit,Naval Air Weapons Station China Lake,Air launch to Suborbital flight,
a17719ee-5a39-452d-afc6-770d3c6deb1b,Juno-I | Explorer 5,Launch Failure,1958-08-24T06:17:22Z,1958-08-24T06:17:22Z,1958-08-24T06:17:22Z,,Juno-I,Juno-I,Chrysler,Army Ballistic Missile Agency,Earth Science,Medium Earth Orbit,Launch Complex 5,"Cape Canaveral SFS, FL, USA",
31bcb852-0c9f-4f1f-a201-a108c88e77f8,Project Pilot | NOTS 4,Launch Failure,1958-08-25T00:00:00Z,1958-08-25T00:00:00Z,1958-08-25T00:00:00Z,,Project Pilot,Project Pilot,US Navy,US Navy,Government/Top Secret,Low Earth Orbit,Naval Air Weapons Station China Lake,Air launch to Suborbital flight,
46580acb-1299-4a54-bdf0-884029a83a84,Project Pilot | NOTS 5,Launch Failure,1958-08-26T00:00:00Z,1958-08-26T00:00:00Z,1958-08-26T00:00:00Z,,Project Pilot,Project Pilot,US Navy,US Navy,Government/Top Secret,Low Earth Orbit,Naval Air Weapons Station China Lake,Air launch to Suborbital flight,
ba8f759d-5c34-4e63-bd32-29cb8e9905e6,Project Pilot | NOTS 6,Launch Failure,1958-08-28T00:00:00Z,1958-08-28T00:00:00Z,1958-08-28T00:00:00Z,,Project Pilot,Project Pilot,US Navy,US Navy,Government/Top Secret,Low Earth Orbit,Naval Air Weapons Station China Lake,Air launch to Suborbital flight,
b6141255-54e9-4edc-839d-1dc81b61f19f,Vostok-L 8K72 | Luna-1a,Launch Failure,1958-09-23T07:40:23Z,1958-09-23T07:40:23Z,1958-09-23T07:40:23Z,,Vostok-L 8K72,Vostok-L 8K72,Energia,Soviet Space Program,Lunar Exploration,Lunar Impactor,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",
3aec8a7e-0884-4709-bdf6-c5f6444314a4,Vanguard | Vanguard,Launch Failure,1958-09-26T15:38:00Z,1958-09-26T15:38:00Z,1958-09-26T15:38:00Z,,Vanguard,Vanguard,Lockheed Martin,US Navy,Earth Science,Medium Earth Orbit,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",
a58b6abf-6b0e-492c-8bf3-1fa586f8d4da,Thor Able I | Pioneer 1,Launch Successful,1958-10-11T08:42:13Z,1958-10-11T08:42:13Z,1958-10-11T08:42:13Z,,Thor Able I,Thor Able I,McDonnell Douglas,Army Ballistic Missile Agency,Lunar Exploration,Lunar Orbit,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",
b9dfc9fc-7c79-4c85-833e-037b3ee311aa,Vostok-L 8K72 | Luna-1b,Launch Failure,1958-10-11T21:41:58Z,1958-10-11T21:41:58Z,1958-10-11T21:41:58Z,,Vostok-L 8K72,Vostok-L 8K72,Energia,Soviet Space Program,Lunar Exploration,Lunar Impactor,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",
96c31f2e-670c-46d5-8c5c-bc0e47dce16e,Juno-I | Beacon,Launch Failure,1958-10-23T03:21:04Z,1958-10-23T03:21:04Z,1958-10-23T03:21:04Z,,Juno-I,Juno-I,Chrysler,Army Ballistic Missile Agency,Test Target,Low Earth Orbit,Launch Complex 5,"Cape Canaveral SFS, FL, USA",
64ecf17b-09e4-42ab-aa54-8d87b989e365,Thor Able I | Pioneer 2,Launch Failure,1958-11-08T07:30:21Z,1958-11-08T07:30:21Z,1958-11-08T07:30:21Z,,Thor Able I,Thor Able I,McDonnell Douglas,Army Ballistic Missile Agency,Lunar Exploration,Lunar Orbit,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",
3fabc98a-84bf-4b91-bec8-31f30eee9dc3,Vostok-L 8K72 | Luna-1c,Launch Failure,1958-12-04T18:18:45Z,1958-12-04T18:18:45Z,1958-12-04T18:18:45Z,,Vostok-L 8K72,Vostok-L 8K72,Energia,Soviet Space Program,Lunar Exploration,Lunar Impactor,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",
e83eac3f-29eb-4fac-b826-247261bd170d,Juno II | Pioneer 3,Launch Successful,1958-12-06T05:44:52Z,1958-12-06T05:44:52Z,1958-12-06T05:44:52Z,,Juno II,Juno II,Army Ballistic Missile Agency,National Aeronautics and Space Administration,Lunar Exploration,Lunar flyby,Launch Complex 5,"Cape Canaveral SFS, FL, USA",
80c8e883-8456-45e7-9ed7-abb1a587c5d9,Atlas B | SCORE,Launch Successful,1958-12-18T23:02:00Z,1958-12-18T23:02:00Z,1958-12-18T23:02:00Z,,Atlas B,SM-65B Atlas,Convair,US Army,Communications,Low Earth Orbit,Launch Complex 11,"Cape Canaveral SFS, FL, USA",
574ba4a9-76fb-4207-a587-dbc39fc1a6e4,Vostok-L 8K72 | Luna-1,Launch Successful,1959-01-02T16:41:21Z,1959-01-02T16:41:21Z,1959-01-02T16:41:21Z,,Vostok-L 8K72,Vostok-L 8K72,Energia,Soviet Space Program,Lunar Exploration,Lunar Impactor,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",
597540d3-b6b1-44d8-b6e6-3b799dc6b1e4,Vanguard | Vanguard II,Launch Successful,1959-02-17T15:55:00Z,1959-02-17T15:55:00Z,1959-02-17T15:55:00Z,,Vanguard,Vanguard,Lockheed Martin,US Navy,Earth Science,Medium Earth Orbit,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",
2e03da7f-8604-416c-9313-8c456d893a6f,Thor Agena A | Discoverer 1,Launch Failure,1959-02-28T21:49:16Z,1959-02-28T21:49:16Z,1959-02-28T21:49:16Z,,Thor Agena A,Thor Agena A,McDonnell Douglas,United States Air Force,Government/Top Secret,Polar Orbit,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",
5de0c176-20e0-4bb6-a576-2e093b79fd51,Juno II | Pioneer 4,Launch Successful,1959-03-03T05:10:56Z,1959-03-03T05:10:56Z,1959-03-03T05:10:56Z,,Juno II,Juno II,Army Ballistic Missile Agency,National Aeronautics and Space Administration,Lunar Exploration,Lunar flyby,Launch Complex 5,"Cape Canaveral SFS, FL, USA",
e10a11fb-e3b9-4def-b281-c5602653b2dc,Thor Agena A | Discoverer 2,Launch Successful,1959-04-13T21:18:39Z,1959-04-13T21:18:39Z,1959-04-13T21:18:39Z,,Thor Agena A,Thor Agena A,McDonnell Douglas,United States Air Force,Government/Top Secret,Polar Orbit,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",
c3d28943-4905-47b6-89c7-13b8dce45eef,Vanguard | Vanguard,Launch Failure,1959-04-14T02:49:46Z,1959-04-14T02:49:46Z,1959-04-14T02:49:46Z,,Vanguard,Vanguard,Lockheed Martin,US Navy,Earth Science,Low Earth Orbit,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",
